"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","parametrizing","1","","26","0","login","0"
"0","","2","","0","2","","0"
"0","start working","0","","2","0","go to the page","0"
"0","API","2","","2","1","delete","0"
